ensemble,case,b,n,s,time_h,eke_25_90N_area_mass_weighted_m2_s-2
standard,BCwave_b1n1s-10,1.0,1,-10,237.0,0.3371758459787467
standard,BCwave_b1n1s-10,1.0,1,-10,238.0,0.351052564712932
standard,BCwave_b1n1s-10,1.0,1,-10,239.0,0.3654596920477973
standard,BCwave_b1n1s-10,1.0,1,-10,240.0,0.3804183431301237
standard,BCwave_b1n1s-10,1.0,1,-10,241.0,0.3959472732614257
standard,BCwave_b1n1s-10,1.0,1,-10,242.0,0.4120716736154762
standard,BCwave_b1n1s-10,1.0,1,-10,243.0,0.4288243462541161
standard,BCwave_b1n1s-10,1.0,1,-10,244.0,0.4462367824539616
standard,BCwave_b1n1s-10,1.0,1,-10,245.0,0.4643159423037741
standard,BCwave_b1n1s-10,1.0,1,-10,246.0,0.483069017776506
standard,BCwave_b1n1s-10,1.0,1,-10,247.0,0.5025048018250103
standard,BCwave_b1n1s-10,1.0,1,-10,248.0,0.5226372383828459
standard,BCwave_b1n1s-10,1.0,1,-10,249.0,0.543475957151279
standard,BCwave_b1n1s-10,1.0,1,-10,250.0,0.5650564755183474
standard,BCwave_b1n1s-10,1.0,1,-10,251.0,0.5874209546343105
standard,BCwave_b1n1s-10,1.0,1,-10,252.0,0.6105903399348654
standard,BCwave_b1n1s-10,1.0,1,-10,253.0,0.6345811931993901
standard,BCwave_b1n1s-10,1.0,1,-10,254.0,0.659410983418941
standard,BCwave_b1n1s-10,1.0,1,-10,255.0,0.6851289017329314
standard,BCwave_b1n1s-10,1.0,1,-10,256.0,0.7117596874199646
standard,BCwave_b1n1s-10,1.0,1,-10,257.0,0.7392455600015085
standard,BCwave_b1n1s-10,1.0,1,-10,258.0,0.7676434733412407
standard,BCwave_b1n1s-10,1.0,1,-10,259.0,0.7969448539115622
standard,BCwave_b1n1s-10,1.0,1,-10,260.0,0.8271480621448741
standard,BCwave_b1n1s-10,1.0,1,-10,261.0,0.8583401361591539
standard,BCwave_b1n1s-10,1.0,1,-10,262.0,0.8905663793375814
standard,BCwave_b1n1s-10,1.0,1,-10,263.0,0.923873708443887
standard,BCwave_b1n1s-10,1.0,1,-10,264.0,0.9582686791873588
standard,BCwave_b1n1s-10,1.0,1,-10,265.0,0.9936873199682454
standard,BCwave_b1n1s-10,1.0,1,-10,266.0,1.0301515226472375
standard,BCwave_b1n1s-10,1.0,1,-10,267.0,1.0677942153736075
standard,BCwave_b1n1s-10,1.0,1,-10,268.0,1.1065416730638278
standard,BCwave_b1n1s-10,1.0,1,-10,269.0,1.1463572949297436
standard,BCwave_b1n1s-10,1.0,1,-10,270.0,1.1873385647083807
standard,BCwave_b1n1s-10,1.0,1,-10,271.0,1.229353997749625
standard,BCwave_b1n1s-10,1.0,1,-10,272.0,1.2724714788416007
standard,BCwave_b1n1s-10,1.0,1,-10,273.0,1.31669584564358
standard,BCwave_b1n1s-10,1.0,1,-10,274.0,1.362017225976616
standard,BCwave_b1n1s-10,1.0,1,-10,275.0,1.4086346323501049
standard,BCwave_b1n1s-10,1.0,1,-10,276.0,1.456340150867233
standard,BCwave_b1n1s-10,1.0,1,-10,277.0,1.5051030046064946
standard,BCwave_b1n1s-10,1.0,1,-10,278.0,1.5552059989117133
standard,BCwave_b1n1s-10,1.0,1,-10,279.0,1.6063569514508396
standard,BCwave_b1n1s-10,1.0,1,-10,280.0,1.6587162682847143
standard,BCwave_b1n1s-10,1.0,1,-10,281.0,1.7125143150462396
standard,BCwave_b1n1s-10,1.0,1,-10,282.0,1.76744130721695
standard,BCwave_b1n1s-10,1.0,1,-10,283.0,1.8234857951962529
standard,BCwave_b1n1s-10,1.0,1,-10,284.0,1.8806168289953349
standard,BCwave_b1n1s-10,1.0,1,-10,285.0,1.939015517795548
standard,BCwave_b1n1s-10,1.0,1,-10,286.0,1.998614707945724
standard,BCwave_b1n1s-10,1.0,1,-10,287.0,2.059244686617685
standard,BCwave_b1n1s-10,1.0,1,-10,288.0,2.120961860369632
