figure,ensemble,b,metric,pressure_hpa,mean,bootstrap_ci_low,bootstrap_ci_high,n_ns_groups,group_mean_peak_abs_pressure_hpa,group_mean_peak_value
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,250.0,-3.977322224576104,-4.400195262708924,-3.5901357754634473,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,300.0,-1.9959105278151885,-2.20803330137187,-1.8022215234244263,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,400.0,2.3231449025236848,2.0924209635116617,2.5754689933895247,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,500.0,6.038670865867364,5.441454579795391,6.691380409999207,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,600.0,8.71684129985321,7.852443933794954,9.662796515688871,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,700.0,10.386955727881286,9.345970685596209,11.528589372270895,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,850.0,11.43480634103374,10.261612807577572,12.71400931576257,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,925.0,11.52956623021358,10.34288211637128,12.82500590453613,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,975.0,11.500016383555097,10.316549247969911,12.792283274999741,15,,
initial_vertical_structure_standard_vs_u30,u30,1.5,initial_meridional_temperature_gradient,1000.0,11.467386472456079,10.288074555925656,12.755187908624064,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,10.0,-0.45098699198812636,-0.49513972811610074,-0.4086742977449377,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,50.0,-3.532679359826337,-3.8867056468916417,-3.1934906367799467,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,100.0,-4.286064601425703,-4.724147690922109,-3.866615555807585,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,150.0,-3.208063875111596,-3.5388908160408996,-2.891031421465111,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,200.0,-1.5198711480479687,-1.6769766085644733,-1.3693347432308658,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,250.0,0.26274353691254265,0.23591811142864572,0.2906319316290743,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,300.0,1.9247874054902543,1.7325340943822691,2.1253793655281092,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,400.0,4.633903199646738,4.1716468793614085,5.115281471338069,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,500.0,6.504566560276241,5.854546313154666,7.180659495891935,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,600.0,7.666612206473171,6.892809205207111,8.470180534914107,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,700.0,8.280033004363455,7.428510862913147,9.159837981466504,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,850.0,8.515633635397535,7.601989496682412,9.45978914993854,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,925.0,8.473853934750272,7.554148223031613,9.422538361529101,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,975.0,8.428093284843877,7.510860770404785,9.373713965032948,15,,
initial_vertical_structure_standard_vs_u30,u30,2.0,initial_meridional_temperature_gradient,1000.0,8.406231972912792,7.4915485932554775,9.349487773609628,15,,
